seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
4242,random,dyadic,0.230179,0.174126,0.402784,0.998592,0.714379,0.998627,0.714161,0.0112673,0.0112606,0.000254458,0.00124546,0.00497712,0.250047,0.000752542,0.950372,0.00333255,11216438071147082940
4343,random,dyadic,0.0693418,0.0863585,0.396732,0.998832,0.715771,0.99886,0.715599,0.0115558,0.0115462,0.000249333,0.00123896,0.00497129,0.249983,0.000737542,0.95045,0.00327915,14660719490780590819
4444,random,dyadic,0.380185,0.265894,0.229497,0.999492,0.761914,0.999505,0.761732,0.00688225,0.00687783,0.000248458,0.00124546,0.00497029,0.250011,0.000750958,0.950248,0.00327661,12858910272898107015
4545,random,dyadic,0.440218,0.291897,0.425389,0.998515,0.723996,0.998551,0.723742,0.0105972,0.0105855,0.000250875,0.00125063,0.00496879,0.25004,0.000741333,0.950191,0.00331907,4665785661025933132
4646,random,dyadic,0.11385,0.105125,0.0934045,0.999499,0.742179,0.999512,0.741948,0.00405483,0.00404963,0.000253917,0.001259,0.00498004,0.249947,0.000756583,0.950326,0.00336048,10612391144567432223
4747,random,dyadic,0.0545293,0.0440417,0.108777,0.999515,0.662873,0.999528,0.662679,0.0035485,0.00354504,0.000249583,0.00124908,0.00497679,0.25001,0.000744958,0.950249,0.00331629,2806913601698330356
4848,random,dyadic,0.0743536,0.0656695,0.283505,0.999235,0.724552,0.999255,0.724313,0.00492425,0.00491533,0.000254417,0.00124862,0.00500308,0.249994,0.00074075,0.95026,0.0032914,13041343288079651521
4949,random,dyadic,0.507492,0.34849,0.215292,0.99973,0.797368,0.999737,0.797067,0.00232458,0.00231892,0.000252458,0.00124471,0.00498117,0.249906,0.000746875,0.950217,0.00332036,15688078512293176947
5050,random,dyadic,0.0514179,0.0428212,0.084079,0.999492,0.782128,0.999505,0.78192,0.00477913,0.004777,0.000248208,0.00125821,0.00498308,0.250083,0.000748792,0.950267,0.0032918,14347374636339464340
5151,random,dyadic,0.423091,0.288521,0.380331,0.999085,0.736577,0.999109,0.73631,0.00819771,0.00818046,0.000253875,0.00125487,0.00499342,0.250033,0.000746417,0.950261,0.00330386,9535685278167279799
5252,random,dyadic,0.406198,0.286277,0.440285,0.998235,0.766258,0.99828,0.766052,0.00839904,0.0083895,0.000248292,0.00125129,0.00498538,0.249925,0.000745,0.950241,0.00330521,8498188523165093839
5353,random,dyadic,0.0620319,0.0749517,0.368848,0.998741,0.692484,0.998772,0.692226,0.009561,0.00954438,0.000249958,0.0012565,0.00500179,0.24995,0.000760708,0.950308,0.00334197,11689919448206570347
5454,random,dyadic,0.525105,0.381667,0.211036,0.999256,0.746023,0.999274,0.746004,0.00699796,0.00699358,0.00025275,0.00125058,0.00499987,0.250025,0.000753667,0.950356,0.00335819,7295714592094838707
5555,random,dyadic,0.296748,0.242183,0.524382,0.998379,0.574488,0.998418,0.574306,0.0137285,0.0137228,0.000253,0.00125254,0.00499367,0.249977,0.00075475,0.950376,0.00332897,5149605271688457828
5656,random,dyadic,0.056062,0.0670811,0.20357,0.999115,0.766304,0.999138,0.766047,0.00460333,0.00460133,0.000246875,0.00124867,0.00499063,0.25001,0.000749125,0.950229,0.00334634,11541920501219194692
101,metric,directed,0.599925,0.431189,0.463216,0.997423,0.710175,0.997403,0.709831,0.0169242,0.0169096,0.496899,0.969299,0.999666,0.000250012,0.0015,0.000500125,0,3559426015699777325
202,metric,directed,0.616389,0.406221,0.116048,0.997978,0.675767,0.997968,0.675329,0.0150767,0.0150626,0.504891,0.967665,0.999664,0.000250006,0.000748375,0.000500125,0,8861501511035084803
303,metric,directed,0.354483,0.275343,0.458677,0.995898,0.706089,0.995877,0.705777,0.0216774,0.021659,0.498876,0.968963,0.999666,0.000250025,0.000758125,0.000500125,0,8975225533692162084
404,metric,directed,0.622106,0.405139,0.292504,0.997367,0.74246,0.997351,0.742087,0.00962287,0.00960463,0.495379,0.969649,0.999666,0.000250012,0.000493333,0.000500125,0,6408376361024084176
505,metric,directed,0.617253,0.408319,0.326421,0.997921,0.685336,0.997912,0.685067,0.0138943,0.0138807,0.504127,0.966963,0.999666,0.000250021,0.000757625,0.000500125,0,2417799959161368895
606,metric,directed,0.550945,0.378866,0.276816,0.996726,0.70952,0.996709,0.709175,0.0103835,0.0103731,0.500637,0.96852,0.999665,0.000249966,0.001252,0.000500125,0,8501317459509533388
707,metric,directed,0.602268,0.409272,0.376499,0.996619,0.741535,0.9966,0.741174,0.0176409,0.017628,0.498758,0.969091,0.999666,0.000249985,0.00172625,0.000500125,0,15662171287071666310
808,metric,directed,0.0546806,0.0581388,0.218335,0.996826,0.708438,0.996807,0.708133,0.0138858,0.013874,0.499368,0.968739,0.999666,0.000250008,0.0005,0.000500125,0,18407015339054756915
909,metric,directed,0.639004,0.464196,0.456646,0.996458,0.724911,0.996438,0.724556,0.0159717,0.0159619,0.496345,0.969601,0.999666,0.000249991,0.000501583,0.000500125,0,4478544239149268252
1010,metric,directed,0.583776,0.389332,0.257828,0.99746,0.747417,0.997447,0.746968,0.00980329,0.00978604,0.498916,0.968746,0.999666,0.000249987,0,0.000500125,0,755190751463251717
1111,metric,directed,0.146942,0.147014,0.239161,0.997507,0.21607,0.997493,0.215895,0.0101366,0.0101231,0.500946,0.968327,0.999666,0.000249999,0.000249542,0.000500125,0,2585996189402064103
1212,metric,directed,0.463814,0.334996,0.329479,0.997566,0.671845,0.997548,0.671416,0.0179091,0.0178937,0.501158,0.967689,0.999665,0.000249964,0.000989333,0.000500125,0,10907425003270472288
1313,metric,directed,0.0770596,0.0657312,0.167558,0.997618,0.712358,0.997601,0.712028,0.00568779,0.00567821,0.499982,0.967941,0.999666,0.000249977,0.000252583,0.000500125,0,15571437015538450152
1414,metric,directed,0.045898,0.0190603,0.133171,0.998472,0.741739,0.998463,0.741429,0.00739129,0.00738037,0.497419,0.969611,0.999662,0.000250041,0.000245833,0.000500125,0,13818401187068647710
1515,metric,directed,0.178362,0.141102,0.178868,0.996879,0.673013,0.996862,0.672661,0.0187803,0.018763,0.498967,0.968786,0.999666,0.00025,0.00150633,0.000500125,0,9520103818991610358
1616,metric,directed,0.556587,0.422289,0.342277,0.995905,0.712463,0.995886,0.712114,0.0148319,0.014809,0.496722,0.968878,0.999666,0.00024999,0.000495917,0.000500125,0,6370879064388483270
1717,metric,directed,0.15644,0.0722228,0.277116,0.99743,0.731969,0.997413,0.73163,0.0132781,0.0132628,0.503721,0.967596,0.999666,0.000250018,0.000753,0.000500125,0,4617993730958730273
