seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
1414,random,D_SWAP,swapped_one_sided,1,1,0.0709931,0.0369351,0.133008,0.998458,0.734726,0.000250625,0.00125292,0.00500604,16757399655768377468
1515,random,D_SWAP,swapped_one_sided,1,1,0.142256,0.120224,0.179278,0.996872,0.682476,0.000249208,0.001245,0.00497742,15553783089522774953
1616,random,D_SWAP,swapped_one_sided,1,1,0.54996,0.411007,0.342159,0.995931,0.724053,0.000249042,0.00123971,0.00495292,2925567432917206370
1717,random,D_SWAP,swapped_one_sided,1,1,0.283135,0.173343,0.277021,0.997418,0.735983,0.000252042,0.00125146,0.00497979,5315331658029473431
1818,random,D_SWAP,swapped_one_sided,1,1,0.219707,0.163138,0.26006,0.996816,0.730696,0.000250042,0.001247,0.00498254,8503298889816827995
1919,random,D_SWAP,swapped_one_sided,1,1,0.661788,0.458367,0.166991,0.996947,0.713333,0.000252792,0.00126392,0.00499075,2554226534663858501
2020,random,D_SWAP,swapped_one_sided,1,1,0.0747497,0.0501483,0.391767,0.995087,0.758404,0.000250708,0.00124879,0.00496804,412551867755059251
2121,random,D_SWAP,swapped_one_sided,1,1,0.389305,0.289054,0.280102,0.996307,0.747692,0.000245042,0.00125162,0.004983,6823530061885106871
2222,random,D_SWAP,swapped_one_sided,1,1,0.393615,0.294717,0.352148,0.997256,0.702672,0.000247167,0.00124633,0.00496487,9549826686038314684
2323,random,D_SWAP,swapped_one_sided,1,1,0.351277,0.278629,0.231641,0.997754,0.735085,0.000248833,0.00123929,0.00497437,12942702738109462900
2424,random,D_SWAP,swapped_one_sided,1,1,0.664735,0.441824,0.149739,0.998286,0.74427,0.000251333,0.0012585,0.00500821,1924404037196765821
2525,random,D_SWAP,swapped_one_sided,1,1,0.73462,0.467826,0.135349,0.998934,0.731593,0.00025025,0.00123721,0.00497558,2742544841774463500
2626,random,D_SWAP,swapped_one_sided,1,1,0.0624844,0.0688758,0.245925,0.996858,0.690554,0.000245875,0.00124017,0.00496679,620250434444110995
2727,random,D_SWAP,swapped_one_sided,1,1,0.0490131,0.0453949,0.293144,0.997952,0.575333,0.000254,0.00125438,0.00498583,2022552238131814483
2828,random,D_SWAP,swapped_one_sided,1,1,0.516353,0.357589,0.354346,0.996076,0.732017,0.000251542,0.00124717,0.00495642,3998001521368178311
2929,random,D_SWAP,swapped_one_sided,1,1,0.63127,0.433808,0.406846,0.996471,0.740756,0.000247417,0.00123583,0.00496304,9683457375107194807
3030,random,D_SWAP,swapped_one_sided,1,1,0.104487,0.100813,0.243065,0.998119,0.719359,0.00025375,0.00125312,0.00498408,10071646235806721820
3131,random,D_SWAP,swapped_one_sided,1,1,0.544129,0.342925,0.214737,0.99745,0.699763,0.000248917,0.00125033,0.00498971,9229365724962856925
3232,random,D_SWAP,swapped_one_sided,1,1,0.0992428,0.104555,0.304043,0.996271,0.697346,0.000247875,0.0012505,0.00499092,13671435268397155858
3333,random,D_SWAP,swapped_one_sided,1,1,0.0986598,0.0886894,0.347569,0.996028,0.6856,0.000244417,0.00124337,0.00496621,2059749156295377661
3434,random,D_SWAP,swapped_one_sided,1,1,0.068323,0.0729451,0.262795,0.997502,0.761672,0.000248417,0.00124496,0.00498704,7553414289207416667
3535,random,D_SWAP,swapped_one_sided,1,1,0.0458552,0.0672684,0.385509,0.997346,0.536454,0.000249083,0.00125312,0.00499667,14471077341508696832
3636,random,D_SWAP,swapped_one_sided,1,1,0.27487,0.23689,0.322033,0.99596,0.651771,0.000253667,0.00124429,0.00496492,16185903053348071721
3737,random,D_SWAP,swapped_one_sided,1,1,0.343368,0.251267,0.455204,0.996486,0.735215,0.000255708,0.00124379,0.00499008,5416711868088930675
3838,random,D_SWAP,swapped_one_sided,1,1,0.397955,0.253212,0.257203,0.997147,0.79567,0.000249,0.00125692,0.00497854,3366072728673555250
3939,random,D_SWAP,swapped_one_sided,1,1,0.341191,0.244994,0.240671,0.997012,0.753249,0.000245917,0.00124662,0.00497012,13885551371623210596
4040,random,D_SWAP,swapped_one_sided,1,1,0.30943,0.226534,0.261603,0.996281,0.713022,0.000250042,0.00125033,0.00497946,13341758029431325002
4141,random,D_SWAP,swapped_one_sided,1,1,0.373077,0.251551,0.257057,0.996697,0.708497,0.000250208,0.00124763,0.00500212,10471921851167804589
4242,random,D_SWAP,swapped_one_sided,1,1,0.0440272,0.0541945,0.410506,0.996117,0.708552,0.00025175,0.00125238,0.00498487,11216438071147082940
4343,random,D_SWAP,swapped_one_sided,1,1,0.374446,0.276807,0.372642,0.996794,0.701822,0.000250083,0.00123438,0.00497129,14660719490780590819
4444,random,D_SWAP,swapped_one_sided,1,1,0.557262,0.37732,0.231654,0.998594,0.745292,0.000249667,0.00123767,0.00495387,12858910272898107015
4545,random,D_SWAP,swapped_one_sided,1,1,0.593218,0.405253,0.395554,0.996212,0.707877,0.000252042,0.00125375,0.00496213,4665785661025933132
4646,random,D_SWAP,swapped_one_sided,1,1,0.378582,0.2813,0.0788598,0.998699,0.725232,0.000247667,0.00124638,0.00496579,10612391144567432223
4747,random,D_SWAP,swapped_one_sided,1,1,0.0848401,0.0788126,0.109182,0.998682,0.732994,0.000254917,0.00125296,0.00497138,2806913601698330356
